,0
1066,WNT2B_expression
1067,WNT3_expression
1068,WNT4_expression
1069,WNT5A_expression
1070,WNT5B_expression
1071,WNT6_expression
1072,WNT7A_expression
1073,WNT7B_expression
1074,WNT8B_expression
1075,WNT9A_expression
1076,XIAP_expression
1077,XPA_expression
1078,XPC_expression
1079,XPO1_expression
1080,XRCC1_expression
1081,XRCC3_expression
1082,YES1_expression
1083,ZAP70_expression
1084,ZEB2_expression
1085,ZIC2_expression
1086,ZYX_expression
1087,ATRX1_mutation
1088,KRAS1_mutation
1089,MSH21_mutation
1090,TP531_mutation
1091,NF11_mutation
1092,PTEN1_mutation
1093,RASA11_mutation
1094,APC_mutation
1095,RB11_mutation
1096,BRAF1_mutation
1097,CDKN2A1_mutation
1098,EZH21_mutation
1099,PTCH11_mutation
1100,CREBBP1_mutation
1101,EGFR1_mutation
1102,NOTCH11_mutation
1103,NOTCH21_mutation
1104,MAP2K41_mutation
1105,ATM1_mutation
1106,CDH11_mutation
1107,INPPL11_mutation
1108,NF21_mutation
1109,PIK3CA1_mutation
1110,FBXW71_mutation
1111,RASA21_mutation
1112,ATR1_mutation
1113,MECOM1_mutation
1114,PIK3R11_mutation
1115,BRCA21_mutation
1116,BRCA11_mutation
1117,CDKN2C1_mutation
1118,BMPR21_mutation
1119,HDAC91_mutation
1120,PIK3C2B1_mutation
1121,SOS21_mutation
1122,ERBB21_mutation
1123,STK111_mutation
1124,CLSPN1_mutation
1125,MET1_mutation
1126,VHL1_mutation
1127,TSC11_mutation
1128,SMAD41_mutation
1129,AXIN11_mutation
1130,FLT31_mutation
1131,MTOR1_mutation
1132,NRAS1_mutation
1133,CTNNB11_mutation
1134,MLH11_mutation
1135,CASP81_mutation
1136,HNF1A1_mutation
1137,ELF31_mutation
1138,ALK1_mutation
